Date,Type,Info,cell_info_data,State,OverrideNetworkType
1658590494.0,Driving,"{('LTE', '15640842', '45'): {'MeanLatency': 44.90909090909091, 'MeanThroughput': 2.8761424778761056}}",{'EARFCN': '700'},,GHz)
1662156136.0,Walking,"{('5G', '225546251', '78'): {'MeanLatency': 65.70909090909092, 'MeanThroughput': 27.70598620689656}}",{'EARFCN': '875'},MA,GHz)
1664573251.0,Walking,"{('5G', '21078793', '284'): {'MeanLatency': 85.24545454545454, 'MeanThroughput': 8.605839310344829}, ('LTE', '21078793', '284'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '1000'},CA,5G(mmWave)
1662424913.0,Static,"{('5G', '16940042', '152'): {'MeanLatency': 47.3909090909091, 'MeanThroughput': 15.029559047619049}, ('LTE', '16940042', '152'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '700'},MA,GHz)
1658081765.0,Walking,"{('5G', '14397708', '126'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '14397708', '126'): {'MeanLatency': 32.37272727272727, 'MeanThroughput': 20.622100952380958}}",{'EARFCN': '66536'},MA,GHz)
1658878015.0,Static,"{('LTE', '14351128', '218'): {'MeanLatency': 39.690909090909095, 'MeanThroughput': 2.052946853146854}}",{'EARFCN': '1025'},MA,LTE-CA
1658590453.0,Driving,"{('LTE', '15640842', '45'): {'MeanLatency': 95.14545454545454, 'MeanThroughput': 13.131866355140188}}",{'EARFCN': '700'},MA,GHz)
1689211824.0,Walking,"{('5G', '0', '285'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '23200257', '30'): {'MeanLatency': 62.57272727272727, 'MeanThroughput': 8.356495312500003}}","{'ARFCN': '125570', 'EARFCN': '66786'}",CA,GHz)
1670650203.0,Static,"{('5G', '21417473', '74'): {'MeanLatency': 58.300000000000004, 'MeanThroughput': 34.95403947368421}, ('LTE', '21417473', '74'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '66786'},CA,Unknown
1675112403.0,Static,"{('5G', '9223372036854775807', '247'): {'MeanLatency': 372.6818181818182, 'MeanThroughput': 1.599686440677966}}",{'ARFCN': '125900'},MA,GHz)
1657567708.0,Walking,"{('LTE', '14536216', '115'): {'MeanLatency': nan, 'MeanThroughput': 44.04000666666666}, ('5G', '14536216', '115'): {'MeanLatency': 20.61818181818182, 'MeanThroughput': 113.88905888888888}}",{'EARFCN': '1025'},MA,5G(mmWave)
1658086268.0,Walking,"{('LTE', '14397720', '127'): {'MeanLatency': nan, 'MeanThroughput': 4.893206666666667}, ('LTE', '14397718', '127'): {'MeanLatency': 31.736363636363635, 'MeanThroughput': 17.053149494949498}}",{'EARFCN': '66536'},MA,GHz)
1658591901.0,Driving,"{('5G', '9223372036854775807', '274'): {'MeanLatency': 44.40909090909091, 'MeanThroughput': 15.592811206896553}, ('LTE', '9223372036854775807', '274'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'ARFCN': '174800'},MA,GHz)
1667262516.0,Static,"{('5G', '21078793', '284'): {'MeanLatency': 85.69090909090909, 'MeanThroughput': 2.2210673611111105}, ('LTE', '21078793', '284'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '1000'},CA,Unknown
1663915726.0,Static,"{('5G', '22524427', '56'): {'MeanLatency': 61.709090909090904, 'MeanThroughput': 11.978394890510948}, ('LTE', '22524427', '56'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '875'},CA,GHz)
1667665523.0,Static,"{('5G', '9223372036854775807', '545'): {'MeanLatency': 22.50909090909091, 'MeanThroughput': 13.50023937007874}, ('LTE', '9223372036854775807', '545'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'ARFCN': '2073333'},MA,Unknown
1658091142.0,Static,"{('LTE', '14397708', '126'): {'MeanLatency': 32.32727272727272, 'MeanThroughput': 15.729020909090895}}",{'EARFCN': '66536'},MA,GHz)
1658710238.0,Driving,"{('LTE', '14771548', '36'): {'MeanLatency': 57.03333333333334, 'MeanThroughput': 4.22468057553957}, ('LTE', '14618626', '232'): {'MeanLatency': 59.1375, 'MeanThroughput': nan}}",{'EARFCN': '5230'},MA,LTE-CA
1658878130.0,Static,"{('LTE', '14351128', '218'): {'MeanLatency': 37.71818181818181, 'MeanThroughput': 4.337777697841726}}",{'EARFCN': '1025'},MA,LTE-CA
1669745628.0,Static,"{('5G', '9223372036854775807', '423'): {'MeanLatency': 85.255, 'MeanThroughput': 19.23916869565217}, ('LTE', '9223372036854775807', '423'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'ARFCN': '125900'},,GHz)
1668188848.0,Walking,"{('5G', '9223372036854775807', '533'): {'MeanLatency': 42.618181818181824, 'MeanThroughput': 56.79758787878787}}",{'ARFCN': '529998'},MA,Unknown
1684887978.0,Walking,"{('5G', '21112073', '155'): {'MeanLatency': 62.900000000000006, 'MeanThroughput': 8.643709909909909}, ('LTE', '21112073', '155'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '1000'},CA,Unknown
1665878806.0,Driving,"{('LTE', '9223372036854775807', '467'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '9223372036854775807', '467'): {'MeanLatency': nan, 'MeanThroughput': 4.620151485148516}, ('5G', '79503873', '306'): {'MeanLatency': 189.43636363636367, 'MeanThroughput': 0.8534651162790697}}","{'ARFCN': '528696', 'EARFCN': '66736'}",MA,GHz)
1667665620.0,Walking,"{('5G', '5389836591', '341'): {'MeanLatency': 48.645454545454534, 'MeanThroughput': 51.22567407407406}}",{'ARFCN': '529998'},MA,Unknown
1662158811.0,Walking,"{('5G', '9223372036854775807', '303'): {'MeanLatency': 48.718181818181826, 'MeanThroughput': 60.02390280373831}}",{'ARFCN': '529998'},MA,Unknown
1662408125.0,Static,"{('5G', '16940042', '152'): {'MeanLatency': 46.74545454545455, 'MeanThroughput': 11.983738392857145}, ('LTE', '16940042', '152'): {'MeanLatency': nan, 'MeanThroughput': nan}}",{'EARFCN': '700'},MA,GHz)
