Date,Type,Info
1681571419.0,Driving,"{('LTE', '26979329', '92'): {'MeanLatency': nan, 'MeanThroughput': 35.389975}, ('LTE', '26979328', '90'): {'MeanLatency': 30.3, 'MeanThroughput': 53.16971818181817}}"
1671177129.0,Walking,"{('LTE', '26816512', '231'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '26816512', '231'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '26352130', '231'): {'MeanLatency': nan, 'MeanThroughput': 22.31580256410256}, ('5G', '26352130', '257'): {'MeanLatency': 54.25454545454545, 'MeanThroughput': 29.306439743589753}, ('LTE', '26352130', '257'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1681299805.0,Static,"{('LTE', '31724288', '7'): {'MeanLatency': 30.936363636363637, 'MeanThroughput': 28.242588679245298}}"
1691844870.0,Driving,"{('LTE', '41202945', '460'): {'MeanLatency': nan, 'MeanThroughput': 76.39648571428572}, ('LTE', '40548354', '227'): {'MeanLatency': 31.80909090909091, 'MeanThroughput': 63.439750000000004}}"
1674148952.0,Static,"{('LTE', '47259392', '309'): {'MeanLatency': 41.836363636363636, 'MeanThroughput': 16.278178095238093}}"
1681195844.0,Driving,"{('LTE', '26360328', '293'): {'MeanLatency': 27.389999999999997, 'MeanThroughput': 46.07931555555555}, ('LTE', '29127683', '6'): {'MeanLatency': nan, 'MeanThroughput': 37.90890769230769}, ('LTE', '26360328', '6'): {'MeanLatency': 27.0, 'MeanThroughput': 31.4572}}"
1671895054.0,Walking,"{('5G', '26681600', '85'): {'MeanLatency': 47.97272727272727, 'MeanThroughput': 75.08244245283022}, ('LTE', '26681600', '85'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1693682229.0,Static,"{('5G', '26809601', '306'): {'MeanLatency': 34.76363636363636, 'MeanThroughput': 2.14818888888889}, ('LTE', '26809601', '306'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1685085089.0,Driving,"{('LTE', '28564483', '270'): {'MeanLatency': 28.672727272727272, 'MeanThroughput': 27.172307692307683}}"
1688453176.0,Driving,"{('5G', '27004418', '209'): {'MeanLatency': 35.545454545454554, 'MeanThroughput': 9.612028333333337}, ('LTE', '27004418', '209'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
