Date,Type,Info
1669274914.0,Driving,"{('LTE', '72756737', '432'): {'MeanLatency': 64.33636363636363, 'MeanThroughput': 6.192149137931032}}"
1680538796.0,Driving,"{('LTE', '72665346', '442'): {'MeanLatency': nan, 'MeanThroughput': 4.331521739130435}, ('5G', '72665346', '442'): {'MeanLatency': 39.45, 'MeanThroughput': 22.530378378378384}, ('LTE', '72667138', '209'): {'MeanLatency': nan, 'MeanThroughput': 6.29188}, ('5G', '72667138', '209'): {'MeanLatency': 46.81428571428571, 'MeanThroughput': 10.4826}}"
1690437754.0,Driving,"{('5G', '73604866', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': 28.704490000000003}, ('LTE', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '74062083', '446'): {'MeanLatency': 54.92727272727273, 'MeanThroughput': 32.62352222222223}}"
1675358989.0,Driving,"{('5G', '71915777', '471'): {'MeanLatency': nan, 'MeanThroughput': 30.472343749999997}, ('LTE', '71915777', '471'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '74114561', '363'): {'MeanLatency': 51.70909090909092, 'MeanThroughput': 32.756799009900995}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
,,"{('5G', '72629761', '145'): {'MeanLatency': 45.50909090909091, 'MeanThroughput': 28.16857090909091}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1670224670.0,Driving,"{('5G', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': 7.776944999999999}, ('LTE', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': 24.466881481481483}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604866', '398'): {'MeanLatency': 52.82727272727273, 'MeanThroughput': 14.706180555555559}, ('LTE', '73604866', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1675099772.0,Driving,"{('LTE', '72531202', '122'): {'MeanLatency': 1119.2818181818182, 'MeanThroughput': 10.449453472222224}}"
1680713927.0,Driving,"{('5G', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': 18.59857857142857}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '74138883', '258'): {'MeanLatency': nan, 'MeanThroughput': 13.808559405940596}, ('LTE', '74138883', '258'): {'MeanLatency': nan, 'MeanThroughput': 5.2419}, ('LTE', '73704969', '302'): {'MeanLatency': 57.23636363636364, 'MeanThroughput': nan}}"
1668582456.0,Driving,"{('LTE', '72531202', '122'): {'MeanLatency': 56.79090909090908, 'MeanThroughput': 35.67433725490196}}"
1669621334.0,Driving,"{('LTE', '74065153', '378'): {'MeanLatency': 109.56363636363636, 'MeanThroughput': 6.432644680851064}}"
,,{}
1681364627.0,Driving,"{('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 6.553925}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 16.50745810810811}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166595', '302'): {'MeanLatency': 56.16363636363637, 'MeanThroughput': 5.474467647058824}}"
1682319454.0,Driving,"{('LTE', '74011395', '494'): {'MeanLatency': 53.67272727272728, 'MeanThroughput': 20.06415865384615}}"
1690438179.0,Driving,"{('LTE', '73118979', '146'): {'MeanLatency': nan, 'MeanThroughput': 5.730976744186045}, ('LTE', '72657411', '314'): {'MeanLatency': 57.063636363636355, 'MeanThroughput': 6.220269491525425}, ('LTE', '72657410', '312'): {'MeanLatency': nan, 'MeanThroughput': 15.7284}}"
1679823125.0,Driving,"{('5G', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': 0.9696335616438357}, ('LTE', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72193281', '249'): {'MeanLatency': 600.6818181818181, 'MeanThroughput': nan}, ('LTE', '72193281', '249'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1666292887.0,Walking,"{('LTE', '72040966', '440'): {'MeanLatency': nan, 'MeanThroughput': 10.485934375000001}, ('5G', '72040966', '440'): {'MeanLatency': nan, 'MeanThroughput': 28.83607413793104}, ('LTE', '73704964', '300'): {'MeanLatency': 67.4090909090909, 'MeanThroughput': 10.381086000000003}}"
1684951315.0,Driving,"{('LTE', '73704966', '302'): {'MeanLatency': 67.1, 'MeanThroughput': 36.101238461538465}}"
1675926436.0,Driving,"{('5G', '73781763', '130'): {'MeanLatency': 57.44545454545455, 'MeanThroughput': 71.4227188679245}, ('LTE', '73781763', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1688139692.0,Driving,"{('5G', '72756737', '432'): {'MeanLatency': 55.554545454545455, 'MeanThroughput': 8.194020740740738}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1665420264.0,Driving,"{('LTE', '72146177', '237'): {'MeanLatency': nan, 'MeanThroughput': 0.9251470588235293}, ('LTE', '72657410', '312'): {'MeanLatency': nan, 'MeanThroughput': 0.685467857142857}, ('LTE', '74065153', '378'): {'MeanLatency': 85.72857142857143, 'MeanThroughput': 3.145740000000001}, ('LTE', '73118979', '146'): {'MeanLatency': 155.23333333333332, 'MeanThroughput': nan}}"
1677174362.0,Driving,"{('5G', '73144322', '31'): {'MeanLatency': 767.6111111111111, 'MeanThroughput': 2.584035915492958}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72630019', '158'): {'MeanLatency': 45.7, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1677000670.0,Driving,"{('LTE', '73985555', '428'): {'MeanLatency': 51.872727272727275, 'MeanThroughput': 15.44014587155964}}"
1687242074.0,Driving,"{('LTE', '72531202', '122'): {'MeanLatency': 61.38181818181818, 'MeanThroughput': 27.12834678899082}}"
1682351540.0,Driving,"{('LTE', '73985555', '428'): {'MeanLatency': 51.07272727272728, 'MeanThroughput': 11.902718018018017}}"
1681192144.0,Driving,"{('LTE', '73985539', '427'): {'MeanLatency': 73.94285714285715, 'MeanThroughput': 43.69095238095238}, ('LTE', '73985537', '428'): {'MeanLatency': 72.5, 'MeanThroughput': nan}}"
1682613746.0,Driving,"{('5G', '71689731', '104'): {'MeanLatency': nan, 'MeanThroughput': 10.757544827586209}, ('LTE', '71689731', '104'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71689736', '103'): {'MeanLatency': 42.909090909090914, 'MeanThroughput': nan}, ('LTE', '71689736', '103'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1685945550.0,Driving,"{('LTE', '73985545', '427'): {'MeanLatency': nan, 'MeanThroughput': 5.028979591836734}, ('LTE', '73985555', '428'): {'MeanLatency': 51.636363636363626, 'MeanThroughput': 22.68745818181818}}"
1687443971.0,Driving,"{('5G', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': 53.381787012987026}, ('LTE', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72790280', '379'): {'MeanLatency': nan, 'MeanThroughput': 55.822094117647055}, ('LTE', '72790280', '379'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72790275', '380'): {'MeanLatency': 45.836363636363636, 'MeanThroughput': 109.58029000000002}, ('LTE', '72790275', '380'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
,,"{('5G', '73781763', '130'): {'MeanLatency': 46.2, 'MeanThroughput': 18.37273418803419}, ('LTE', '73781763', '130'): {'MeanLatency': 56.75, 'MeanThroughput': nan}}"
1667545376.0,Driving,"{('LTE', '72630017', '156'): {'MeanLatency': 56.48181818181819, 'MeanThroughput': 3.0952374999999996}}"
1676445611.0,Driving,"{('LTE', '72531202', '122'): {'MeanLatency': 72.3, 'MeanThroughput': 25.363963063063068}}"
1680622259.0,Driving,"{('LTE', '72630017', '156'): {'MeanLatency': nan, 'MeanThroughput': 4.915243749999999}, ('LTE', '72091143', '219'): {'MeanLatency': 60.08181818181818, 'MeanThroughput': 9.68475555555555}}"
1670438297.0,Walking,"{('5G', '72629761', '145'): {'MeanLatency': 52.16363636363636, 'MeanThroughput': 43.32462456140351}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689266048.0,Driving,"{('5G', '71689730', '103'): {'MeanLatency': nan, 'MeanThroughput': 32.61097200000001}, ('LTE', '71689730', '103'): {'MeanLatency': nan, 'MeanThroughput': 20.220585714285715}, ('LTE', '72486914', '85'): {'MeanLatency': 60.65454545454545, 'MeanThroughput': 21.625687499999998}}"
1679469252.0,Driving,"{('LTE', '72657411', '314'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72759561', '206'): {'MeanLatency': nan, 'MeanThroughput': 2.7099813559322032}, ('LTE', '74065160', '379'): {'MeanLatency': 55.690909090909095, 'MeanThroughput': 2.963186956521739}}"
1668615947.0,Driving,"{('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 1.6644738095238096}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 10.486133333333333}, ('LTE', '72630187', '363'): {'MeanLatency': 50.845454545454544, 'MeanThroughput': 7.864125}}"
,,"{('LTE', '72630017', '156'): {'MeanLatency': 51.54545454545455, 'MeanThroughput': 0.29961642857142856}}"
1679931982.0,Driving,"{('LTE', '73985537', '428'): {'MeanLatency': 75.53636363636363, 'MeanThroughput': 31.35504368932038}}"
1688020115.0,Driving,"{('5G', '72756737', '432'): {'MeanLatency': 50.1, 'MeanThroughput': 21.28257033898306}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
,,"{('5G', '71920131', '38'): {'MeanLatency': 59.863636363636374, 'MeanThroughput': 63.30558598130843}, ('LTE', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1687793940.0,Driving,"{('5G', '72756737', '432'): {'MeanLatency': 48.3, 'MeanThroughput': 11.684373571428564}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1679822587.0,Driving,"{('5G', '73498114', '502'): {'MeanLatency': nan, 'MeanThroughput': 51.890220560747636}, ('LTE', '73498114', '502'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71708673', '414'): {'MeanLatency': 50.35454545454545, 'MeanThroughput': 36.699000000000005}, ('LTE', '71708673', '414'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682700573.0,Driving,"{('LTE', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 1.57288}, ('5G', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 22.619285714285713}, ('5G', '73808385', '303'): {'MeanLatency': 48.654545454545456, 'MeanThroughput': 13.631516000000001}, ('LTE', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1675960282.0,Driving,"{('5G', '72629761', '145'): {'MeanLatency': 109.26363636363635, 'MeanThroughput': 4.71853}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': 4.107455000000001}, ('LTE', '72578819', '488'): {'MeanLatency': nan, 'MeanThroughput': 6.61709761904762}, ('5G', '72578819', '488'): {'MeanLatency': nan, 'MeanThroughput': 8.738352380952382}}"
1679555443.0,Driving,"{('LTE', '72091143', '219'): {'MeanLatency': 66.39090909090909, 'MeanThroughput': 12.878260194174755}}"
1680673737.0,Driving,"{('5G', '73604865', '397'): {'MeanLatency': 39.6, 'MeanThroughput': 24.299226923076922}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73678850', '64'): {'MeanLatency': 44.739999999999995, 'MeanThroughput': nan}, ('LTE', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1670261267.0,Driving,"{('LTE', '73704964', '300'): {'MeanLatency': 60.21818181818182, 'MeanThroughput': 5.122771755725192}}"
1688060618.0,Driving,"{('LTE', '73603843', '188'): {'MeanLatency': 46.275, 'MeanThroughput': 36.54440396039604}, ('LTE', '73603841', '186'): {'MeanLatency': 51.36666666666667, 'MeanThroughput': nan}}"
1684822735.0,Driving,"{('LTE', '73985555', '428'): {'MeanLatency': 475.84999999999997, 'MeanThroughput': 1.0708422535211268}, ('LTE', '73985537', '428'): {'MeanLatency': 51.2, 'MeanThroughput': nan}, ('LTE', '72531202', '122'): {'MeanLatency': 57.12500000000001, 'MeanThroughput': nan}}"
