Date,Type,Info
1683304096.0,Driving,"{('5G', '262698', '397'): {'MeanLatency': 71.44545454545454, 'MeanThroughput': 12.972849152542375}, ('LTE', '262698', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1676629951.0,Driving,"{('LTE', '550953', '327'): {'MeanLatency': 67.15454545454546, 'MeanThroughput': 16.84216548672567}}"
1683907086.0,Walking,"{('5G', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': 16.45768611111111}, ('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '500503', '272'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': 3.275770833333333}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '494890', '229'): {'MeanLatency': 60.47272727272727, 'MeanThroughput': 31.154767307692303}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1677261584.0,Driving,"{('5G', '261417', '27'): {'MeanLatency': 60.63636363636363, 'MeanThroughput': 48.2339827272727}, ('LTE', '261417', '27'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1675422566.0,Static,"{('5G', '261142', '442'): {'MeanLatency': 63.50909090909092, 'MeanThroughput': 6.002152413793105}, ('LTE', '261142', '442'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1679335633.0,Walking,"{('5G', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': 1.4297090909090908}, ('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': 1.6478314285714286}, ('5G', '494890', '229'): {'MeanLatency': 71.27272727272727, 'MeanThroughput': 9.210097297297297}, ('5G', '500503', '359'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1687537700.0,Walking,"{('LTE', '262679', '92'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '262699', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '262699', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '262679', '92'): {'MeanLatency': 68.04545454545456, 'MeanThroughput': 19.011833333333335}}"
1677261474.0,Driving,"{('5G', '494891', '230'): {'MeanLatency': 58.72727272727273, 'MeanThroughput': 75.99833693693692}, ('LTE', '494891', '230'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1683301790.0,Walking,"{('5G', '494890', '229'): {'MeanLatency': 71.2909090909091, 'MeanThroughput': 46.02593425925924}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689869139.0,Driving,"{('5G', '1917205', '406'): {'MeanLatency': 70.63636363636364, 'MeanThroughput': 27.165903448275845}, ('LTE', '1917205', '406'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682609960.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 65.16363636363636, 'MeanThroughput': 10.825627642276427}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689005520.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 52.10909090909092, 'MeanThroughput': 100.01954519230767}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1686934519.0,Driving,"{('LTE', '826903', '413'): {'MeanLatency': 74.84545454545453, 'MeanThroughput': 5.461817361111112}}"
1680188504.0,Static,"{('5G', '494889', '228'): {'MeanLatency': 56.10909090909092, 'MeanThroughput': 120.4327349514564}, ('LTE', '494889', '228'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682610300.0,Static,"{('5G', '494889', '228'): {'MeanLatency': 67.74545454545455, 'MeanThroughput': 87.73233047619046}, ('LTE', '494889', '228'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1676629779.0,Driving,"{('LTE', '262667', '75'): {'MeanLatency': 69.01818181818182, 'MeanThroughput': 23.667008571428564}}"
1682610025.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 67.50000000000001, 'MeanThroughput': 11.995190909090907}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1683301771.0,Walking,"{('5G', '494890', '229'): {'MeanLatency': 70.5909090909091, 'MeanThroughput': 8.52498455284553}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1675102887.0,Walking,"{('5G', '494891', '230'): {'MeanLatency': 50.9, 'MeanThroughput': 121.23570095238094}, ('LTE', '494891', '230'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682611019.0,Driving,"{('5G', '261419', '29'): {'MeanLatency': 67.65454545454544, 'MeanThroughput': 90.42821376146793}, ('LTE', '261419', '29'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689868939.0,Driving,"{('5G', '261397', '33'): {'MeanLatency': 63.154545454545456, 'MeanThroughput': 88.82762095238091}, ('LTE', '261397', '33'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682611061.0,Driving,"{('5G', '261419', '29'): {'MeanLatency': 65.60000000000001, 'MeanThroughput': 54.61332870370369}, ('LTE', '261419', '29'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1691164492.0,Driving,"{('5G', '261397', '33'): {'MeanLatency': 64.68181818181819, 'MeanThroughput': 113.3576281553398}, ('LTE', '261397', '33'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1680188409.0,Static,"{('5G', '494890', '229'): {'MeanLatency': 58.436363636363645, 'MeanThroughput': 135.1420708737864}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1676575199.0,Walking,"{('LTE', '494880', '370'): {'MeanLatency': 66.85454545454546, 'MeanThroughput': 45.45441941747573}}"
1682610008.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 70.34545454545454, 'MeanThroughput': 39.643735087719314}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1680189423.0,Driving,"{('5G', '261417', '27'): {'MeanLatency': 64.63636363636363, 'MeanThroughput': 87.36500865384613}, ('LTE', '261417', '27'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682610165.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 68.23636363636363, 'MeanThroughput': 107.18425769230772}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1684515376.0,Static,"{('5G', '494870', '109'): {'MeanLatency': 57.927272727272744, 'MeanThroughput': 141.1580009708738}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1679337069.0,Driving,"{('LTE', '826923', '386'): {'MeanLatency': 69.60909090909091, 'MeanThroughput': 3.9678297297297287}, ('LTE', '826903', '413'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '261409', '131'): {'MeanLatency': nan, 'MeanThroughput': 0.2995757142857143}, ('5G', '261409', '131'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '826923', '386'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1684515710.0,Driving,"{('5G', '261417', '27'): {'MeanLatency': 59.81818181818182, 'MeanThroughput': 54.13995473684209}, ('LTE', '261417', '27'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '261407', '129'): {'MeanLatency': nan, 'MeanThroughput': 31.457933333333333}, ('LTE', '261407', '129'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689004605.0,Static,"{('5G', '500513', '359'): {'MeanLatency': nan, 'MeanThroughput': 4.743480952380953}, ('LTE', '500513', '359'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '500523', '110'): {'MeanLatency': 55.95454545454545, 'MeanThroughput': 3.3549800000000007}}"
1682610909.0,Driving,"{('5G', '261417', '27'): {'MeanLatency': 67.78181818181817, 'MeanThroughput': 29.106565517241382}, ('LTE', '261417', '27'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1691164759.0,Driving,"{('5G', '1917207', '408'): {'MeanLatency': 63.75454545454546, 'MeanThroughput': 40.67924568965517}, ('LTE', '1917207', '408'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1685990586.0,Driving,"{('LTE', '261397', '33'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '261397', '33'): {'MeanLatency': 62.554545454545455, 'MeanThroughput': 112.4206519230769}}"
1692378477.0,Walking,"{('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '494870', '109'): {'MeanLatency': 62.35454545454545, 'MeanThroughput': 147.05700291262139}}"
1682610053.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 67.09090909090908, 'MeanThroughput': 41.329266666666676}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1692379258.0,Driving,"{('LTE', '826923', '386'): {'MeanLatency': nan, 'MeanThroughput': 6.990522222222221}, ('LTE', '826903', '413'): {'MeanLatency': nan, 'MeanThroughput': 1.9887172413793104}, ('5G', '826903', '413'): {'MeanLatency': 63.15, 'MeanThroughput': 6.242211111111111}, ('LTE', '261409', '131'): {'MeanLatency': 262.84999999999997, 'MeanThroughput': 0.0}, ('5G', '261409', '131'): {'MeanLatency': 62.8, 'MeanThroughput': 13.981621212121214}}"
1682610318.0,Static,"{('5G', '494889', '228'): {'MeanLatency': 67.39090909090909, 'MeanThroughput': 97.53515377358494}, ('LTE', '494889', '228'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1687538088.0,Walking,"{('5G', '262699', '398'): {'MeanLatency': 68.68181818181819, 'MeanThroughput': 24.238379999999996}, ('LTE', '262699', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1687537461.0,Driving,"{('5G', '257833', '249'): {'MeanLatency': 66.01818181818183, 'MeanThroughput': 29.36025909090909}, ('LTE', '257833', '249'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1676577243.0,Walking,"{('LTE', '262679', '92'): {'MeanLatency': 62.13636363636365, 'MeanThroughput': 29.825047169811317}}"
1675088984.0,Static,"{('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '500523', '110'): {'MeanLatency': 59.73636363636364, 'MeanThroughput': 7.463916666666667}, ('5G', '500511', '357'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '500511', '357'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1692378145.0,Walking,"{('LTE', '1917205', '406'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '1917205', '406'): {'MeanLatency': 177.99, 'MeanThroughput': 2.15700354609929}, ('5G', '1917225', '331'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '1917225', '331'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
,,"{('5G', '1641258', '463'): {'MeanLatency': 185.20999999999998, 'MeanThroughput': 0.3745285714285714}, ('5G', '1641238', '445'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '1641238', '445'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '263211', '212'): {'MeanLatency': nan, 'MeanThroughput': 0.3883851851851852}, ('LTE', '263211', '212'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '1641258', '463'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1687165292.0,Walking,"{('5G', '494870', '109'): {'MeanLatency': 59.790909090909096, 'MeanThroughput': 43.52091650485436}, ('LTE', '494870', '109'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1689869106.0,Driving,"{('5G', '1917205', '406'): {'MeanLatency': 61.06363636363637, 'MeanThroughput': 15.265462499999993}, ('LTE', '1917205', '406'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1685989958.0,Static,"{('5G', '494879', '369'): {'MeanLatency': 64.20909090909092, 'MeanThroughput': 116.80775480769233}, ('LTE', '494879', '369'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1677260501.0,Static,"{('5G', '500523', '110'): {'MeanLatency': 80.30909090909091, 'MeanThroughput': 2.0607889655172418}, ('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '500503', '359'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '500503', '359'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1691164696.0,Driving,"{('5G', '1917207', '408'): {'MeanLatency': 64.19090909090909, 'MeanThroughput': 48.30731452991456}, ('LTE', '1917207', '408'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
,,"{('5G', '500523', '110'): {'MeanLatency': 64.92727272727274, 'MeanThroughput': 32.39372619047619}, ('LTE', '500523', '110'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1682610282.0,Static,"{('5G', '494889', '228'): {'MeanLatency': 66.86363636363637, 'MeanThroughput': 90.31669999999993}, ('LTE', '494889', '228'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1681402042.0,Static,"{('LTE', '261419', '29'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '261419', '29'): {'MeanLatency': 63.69090909090908, 'MeanThroughput': 35.74302869565219}}"
