Date,Type,Info
1694541889.0,Static,"{('LTE', '0', '18'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516993', '244'): {'MeanLatency': 37.82727272727272, 'MeanThroughput': 55.358722549019596}}"
1684168230.0,Static,"{('5G', '0', '19'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '230516995', '85'): {'MeanLatency': 54.14545454545455, 'MeanThroughput': 24.866469523809513}}"
1680536675.0,Static,"{('LTE', '230625047', '489'): {'MeanLatency': 47.790909090909096, 'MeanThroughput': 15.4438734375}}"
1674420253.0,Static,"{('LTE', '36367636', '393'): {'MeanLatency': nan, 'MeanThroughput': 11.695338461538462}, ('LTE', '36510994', '63'): {'MeanLatency': nan, 'MeanThroughput': 11.883904444444445}, ('LTE', '9223372036854775807', '63'): {'MeanLatency': 46.977777777777774, 'MeanThroughput': 11.0104}}"
1689444359.0,Static,"{('5G', '0', '299'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '230517095', '249'): {'MeanLatency': 85.7909090909091, 'MeanThroughput': 53.084614423076914}}"
1673724790.0,Walking,"{('LTE', '40706580', '470'): {'MeanLatency': nan, 'MeanThroughput': 3.4951333333333334}, ('LTE', '9223372036854775807', '470'): {'MeanLatency': 87.18333333333334, 'MeanThroughput': 11.758977669902913}}"
1679993504.0,Static,"{('LTE', '9223372036854775807', '149'): {'MeanLatency': 37.11818181818182, 'MeanThroughput': 78.9401245283019}}"
1685211111.0,Walking,"{('LTE', '0', '417'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '52197417', '240'): {'MeanLatency': nan, 'MeanThroughput': 8.018635294117647}, ('LTE', '0', '149'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230724613', '240'): {'MeanLatency': nan, 'MeanThroughput': 6.772320833333335}, ('LTE', '230724613', '449'): {'MeanLatency': 34.800000000000004, 'MeanThroughput': 13.841467999999995}}"
1691773053.0,Static,"{('LTE', '0', '149'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230724611', '48'): {'MeanLatency': 41.28181818181818, 'MeanThroughput': 44.13210679611648}}"
1677009826.0,Walking,"{('LTE', '230869508', '35'): {'MeanLatency': 50.054545454545455, 'MeanThroughput': 27.455930701754376}}"
1681311537.0,Static,"{('LTE', '0', '255'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516993', '244'): {'MeanLatency': 56.28181818181818, 'MeanThroughput': 26.214400980392156}}"
1687285333.0,Static,"{('LTE', '0', '20'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516994', '282'): {'MeanLatency': 39.39090909090909, 'MeanThroughput': 80.98452912621359}}"
1684329287.0,Static,"{('5G', '0', '11'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '230419206', '381'): {'MeanLatency': 57.23636363636364, 'MeanThroughput': 23.18995865384616}}"
1670525033.0,Driving,"{('LTE', '36587283', '288'): {'MeanLatency': nan, 'MeanThroughput': 5.505305}, ('LTE', '36511252', '376'): {'MeanLatency': nan, 'MeanThroughput': 6.740928571428571}, ('5G', '36511252', '376'): {'MeanLatency': nan, 'MeanThroughput': 6.5537149999999995}, ('5G', '9223372036854775807', '376'): {'MeanLatency': 43.0, 'MeanThroughput': 11.81774126984127}, ('LTE', '9223372036854775807', '376'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1671042040.0,Static,"{('LTE', '36623378', '244'): {'MeanLatency': 43.300000000000004, 'MeanThroughput': 11.784499145299153}}"
1681230086.0,Walking,"{('LTE', '230516995', '85'): {'MeanLatency': nan, 'MeanThroughput': 1.165121212121212}}"
1687285400.0,Walking,"{('LTE', '0', '19'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516995', '85'): {'MeanLatency': 33.12727272727273, 'MeanThroughput': 70.7026349514563}}"
1683910158.0,Walking,"{('5G', '0', '273'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '230539305', '144'): {'MeanLatency': 87.9090909090909, 'MeanThroughput': 63.44859166666665}}"
1679300912.0,Static,"{('LTE', '230724613', '487'): {'MeanLatency': 92.73636363636363, 'MeanThroughput': 20.0814641509434}}"
1671042596.0,Static,"{('LTE', '9223372036854775807', '25'): {'MeanLatency': 105.33333333333333, 'MeanThroughput': 9.988708620689655}}"
1678786844.0,Walking,"{('LTE', '230724614', '488'): {'MeanLatency': 56.345454545454544, 'MeanThroughput': 44.49087155963302}}"
1682167074.0,Static,"{('LTE', '230419206', '381'): {'MeanLatency': 40.916666666666664, 'MeanThroughput': 48.47288}}"
1681721154.0,Static,"{('LTE', '230724614', '488'): {'MeanLatency': 47.17999999999999, 'MeanThroughput': 46.66282181818183}}"
