Country,StateUSA,Info,City
España,28023,"{('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 1.3848169811320756}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 2.4031347222222217}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73144322', '31'): {'MeanLatency': 100.14545454545454, 'MeanThroughput': 4.868371428571429}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Germany,10587,"{('5G', '27018242', '365'): {'MeanLatency': 36.08181818181818, 'MeanThroughput': 50.63436486486486}, ('LTE', '27018242', '365'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Berlin
Norway,0565,"{('LTE', '51662598', '88'): {'MeanLatency': nan, 'MeanThroughput': 36.97703421052632}, ('5G', '51662598', '88'): {'MeanLatency': 48.35454545454545, 'MeanThroughput': 43.351785074626854}}",kommune
United States,MD,"{('5G', '5471318319', '755'): {'MeanLatency': 21.527272727272727, 'MeanThroughput': 8.656830232558136}}",Timonium
España,28029,"{('LTE', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 2.4469133333333333}, ('5G', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 18.724475}, ('5G', '73808385', '303'): {'MeanLatency': 453.425, 'MeanThroughput': 6.073452475247525}, ('LTE', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('5G', '72629761', '145'): {'MeanLatency': 139.02727272727273, 'MeanThroughput': 22.020156666666672}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Norway,0572,"{('5G', '51662336', '321'): {'MeanLatency': 43.20909090909092, 'MeanThroughput': 89.57770566037736}, ('LTE', '51662336', '321'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
España,28028,"{('LTE', '72806664', '491'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72806657', '490'): {'MeanLatency': 79.06363636363636, 'MeanThroughput': nan}}",Madrid
España,28044,"{('LTE', '73985555', '428'): {'MeanLatency': 65.65454545454544, 'MeanThroughput': 10.257815942028987}}",Madrid
España,28034,"{('5G', '73808385', '303'): {'MeanLatency': 68.70909090909092, 'MeanThroughput': 3.7504145985401465}, ('LTE', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
,,"{('LTE', '72756743', '432'): {'MeanLatency': 55.02, 'MeanThroughput': 2.5981008849557528}, ('5G', '72756743', '432'): {'MeanLatency': 86.68333333333334, 'MeanThroughput': nan}}",
United States,IL,"{('5G', '129055244', '345'): {'MeanLatency': 33.31818181818182, 'MeanThroughput': 39.437784955752214}, ('LTE', '129055244', '345'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Chicago
,,"{('5G', '72756737', '432'): {'MeanLatency': 42.00909090909091, 'MeanThroughput': 20.97852809917356}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
Germany,14057,"{('5G', '26967040', '430'): {'MeanLatency': 32.29090909090909, 'MeanThroughput': 34.51244956521739}, ('LTE', '26967040', '430'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Berlin
España,"28914,","{('LTE', '71863043', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '71863042', '365'): {'MeanLatency': 81.22727272727273, 'MeanThroughput': 62.551106930693074}}",Madrid
España,28035,"{('5G', '73781763', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73781763', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71915785', '473'): {'MeanLatency': 54.3909090909091, 'MeanThroughput': 1.8199859504132232}, ('LTE', '71915785', '473'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
United States,PA,"{('5G', '11469575', '296'): {'MeanLatency': 51.790909090909096, 'MeanThroughput': 20.546905405405408}}",Philadelphia
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 47.24545454545454, 'MeanThroughput': 37.875732142857146}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
Norway,0571,"{('5G', '52050437', '331'): {'MeanLatency': 46.09090909090909, 'MeanThroughput': 16.064334399999993}, ('LTE', '52050437', '331'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
Norway,"Forskningsparken,","{('LTE', '17015041', '303'): {'MeanLatency': 69.86363636363636, 'MeanThroughput': 15.15136880733945}}",Oslo
Germany,10555,"{('5G', '26352130', '257'): {'MeanLatency': 36.71818181818182, 'MeanThroughput': 51.66047522935779}, ('LTE', '26352130', '257'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Berlin
España,"Leganés,","{('LTE', '72531207', '121'): {'MeanLatency': 59.054545454545455, 'MeanThroughput': 18.835410185185193}}",Leganés
España,28029,"{('LTE', '73704961', '300'): {'MeanLatency': 86.26363636363637, 'MeanThroughput': 2.387038211382114}}",Madrid
Canada,V6Z,"{('5G', '53784596', '38'): {'MeanLatency': nan, 'MeanThroughput': 22.282439999999998}, ('5G', '9223372036854775807', '134'): {'MeanLatency': 32.945454545454545, 'MeanThroughput': 19.94573152173913}}",Vancouver
España,28044,"{('LTE', '73985537', '428'): {'MeanLatency': nan, 'MeanThroughput': 21.110166371681427}, ('5G', '73985537', '428'): {'MeanLatency': 43.7, 'MeanThroughput': nan}}",Madrid
España,"Leganés,","{('LTE', '72531208', '122'): {'MeanLatency': 49.25454545454545, 'MeanThroughput': 21.11982641509435}}",Leganés
España,28023,"{('LTE', '73678851', '65'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72091143', '219'): {'MeanLatency': 68.63636363636364, 'MeanThroughput': 14.838616037735845}}",Madrid
Norway,0473,"{('5G', '51820292', '191'): {'MeanLatency': nan, 'MeanThroughput': 117.94014}, ('LTE', '51820292', '191'): {'MeanLatency': nan, 'MeanThroughput': 6.991166666666667}, ('5G', '51597576', '180'): {'MeanLatency': 43.56363636363637, 'MeanThroughput': 145.69744222222218}, ('LTE', '51597576', '180'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
United States,DC,"{('5G', '5464244226', '576'): {'MeanLatency': 48.93636363636363, 'MeanThroughput': 3.6960920863309346}}",Washington
United States,IL,"{('LTE', '9223372036854775807', '250'): {'MeanLatency': 111.68181818181819, 'MeanThroughput': 21.614650943396228}}",Chicago
España,"Leganés,","{('5G', '72756738', '433'): {'MeanLatency': 62.80909090909092, 'MeanThroughput': 2.3142593103448275}, ('LTE', '72756738', '433'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
España,28044,"{('LTE', '73985539', '427'): {'MeanLatency': 60.61818181818182, 'MeanThroughput': 46.93441634615384}}",Madrid
España,28035,"{('5G', '71915784', '472'): {'MeanLatency': 63.545454545454554, 'MeanThroughput': 25.12804684684686}, ('LTE', '71915784', '472'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 58.790909090909096, 'MeanThroughput': 29.59245096153846}}",Leganés
España,28035,"{('5G', '73678851', '65'): {'MeanLatency': nan, 'MeanThroughput': 6.874043333333332}, ('LTE', '73678851', '65'): {'MeanLatency': nan, 'MeanThroughput': 6.081468000000001}, ('LTE', '72961795', '44'): {'MeanLatency': nan, 'MeanThroughput': 13.10625}, ('5G', '72961795', '44'): {'MeanLatency': 54.67142857142857, 'MeanThroughput': 11.53332}, ('5G', '72374785', '303'): {'MeanLatency': 49.3, 'MeanThroughput': nan}, ('LTE', '72374785', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('5G', '71915778', '472'): {'MeanLatency': nan, 'MeanThroughput': 35.72648000000001}, ('LTE', '71915778', '472'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '74114561', '363'): {'MeanLatency': 58.9909090909091, 'MeanThroughput': 44.493881081081085}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28023,"{('5G', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': 3.5697148936170233}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166594', '301'): {'MeanLatency': 92.91818181818182, 'MeanThroughput': nan}}",Madrid
Italy,Torino,"{('LTE', '0', '20'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516994', '282'): {'MeanLatency': 39.39090909090909, 'MeanThroughput': 80.98452912621359}}",Torino
España,28034,"{('LTE', '73704961', '300'): {'MeanLatency': 70.58181818181819, 'MeanThroughput': 2.9788219696969698}}",Madrid
United States,MA,"{('LTE', '14625795', '285'): {'MeanLatency': 49.25454545454545, 'MeanThroughput': 15.878840952380948}}",Provincetown
España,28035,"{('5G', '71915785', '473'): {'MeanLatency': nan, 'MeanThroughput': 5.24316}, ('LTE', '71915785', '473'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604865', '397'): {'MeanLatency': 54.18181818181818, 'MeanThroughput': 20.597106185567014}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('LTE', '73704966', '302'): {'MeanLatency': 64.32727272727273, 'MeanThroughput': 22.157161320754724}}",Madrid
Norway,5015,"{('5G', '31795487', '160'): {'MeanLatency': 49.972727272727276, 'MeanThroughput': 117.8378796116505}, ('LTE', '31795487', '160'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Bergen
España,"Leganés,","{('LTE', '72756755', '432'): {'MeanLatency': nan, 'MeanThroughput': 7.864835714285715}, ('LTE', '72756743', '432'): {'MeanLatency': nan, 'MeanThroughput': 0.6503891472868217}, ('LTE', '73707529', '129'): {'MeanLatency': 4844.25, 'MeanThroughput': nan}}",Leganés
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 51.97272727272727, 'MeanThroughput': 34.426684955752215}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
Denmark,Kongens,"{('LTE', '42058004', '28'): {'MeanLatency': 59.66363636363637, 'MeanThroughput': 11.57452169811321}}",Lyngby
España,"Alarcón,","{('LTE', '72657411', '314'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73118979', '146'): {'MeanLatency': nan, 'MeanThroughput': 4.555514754098359}, ('LTE', '74065153', '378'): {'MeanLatency': 63.41818181818181, 'MeanThroughput': 8.505457777777776}}",Alarcón
United States,TX,"{('5G', '136577032', '285'): {'MeanLatency': 74.78181818181817, 'MeanThroughput': 13.64076315789474}, ('LTE', '136577032', '285'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Station
España,"Alarcón,","{('LTE', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 1.2014520833333335}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': 7.689548888888887}, ('5G', '73166594', '301'): {'MeanLatency': 87.2, 'MeanThroughput': 11.8842}}",Alarcón
España,"Fortuna,","{('LTE', '72531202', '122'): {'MeanLatency': 54.63636363636363, 'MeanThroughput': 34.03035092592595}}",Fortuna
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 66.00909090909092, 'MeanThroughput': 6.4992321917808225}}",Leganés
España,28034,"{('5G', '71915778', '472'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '71915778', '472'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71915785', '473'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '71915785', '473'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': 1.9275330882352941}, ('LTE', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72909575', '165'): {'MeanLatency': 51.872727272727275, 'MeanThroughput': 5.242133333333333}, ('LTE', '72909575', '165'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('5G', '74114561', '363'): {'MeanLatency': 50.59090909090909, 'MeanThroughput': 20.097836666666673}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28036,"{('5G', '72118275', '312'): {'MeanLatency': 49.05454545454547, 'MeanThroughput': 76.83068691588785}, ('LTE', '72118275', '312'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
,,"{('5G', '72040963', '440'): {'MeanLatency': 45.93636363636363, 'MeanThroughput': 14.737432283464567}, ('LTE', '72040963', '440'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
Norway,0159,"{('5G', '30803233', '389'): {'MeanLatency': 47.309999999999995, 'MeanThroughput': 141.70931249999998}, ('LTE', '30803233', '389'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 46.76363636363637, 'MeanThroughput': 23.323403738317758}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
,,"{('LTE', '72092163', '188'): {'MeanLatency': 76.49090909090908, 'MeanThroughput': 2.383058585858586}, ('5G', '72092163', '188'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
United States,CA,"{('5G', '21095431', '200'): {'MeanLatency': 80.92727272727274, 'MeanThroughput': 65.806814953271}, ('LTE', '21095431', '200'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Sunnyvale
España,"Alarcón,","{('LTE', '72376579', '107'): {'MeanLatency': 59.78181818181818, 'MeanThroughput': 36.85006476190478}}",Alarcón
España,28046,"{('5G', '72808706', '337'): {'MeanLatency': nan, 'MeanThroughput': 22.521764788732387}, ('LTE', '72808706', '337'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71988481', '264'): {'MeanLatency': 50.68181818181818, 'MeanThroughput': 27.61259777777778}, ('LTE', '71988481', '264'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28046,"{('5G', '72732417', '226'): {'MeanLatency': 50.18181818181818, 'MeanThroughput': 69.95475047619048}, ('LTE', '72732417', '226'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 47.21818181818182, 'MeanThroughput': 12.5023282051282}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
España,28029,"{('5G', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': 4.375366187050361}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28044,"{('LTE', '73985545', '427'): {'MeanLatency': 1089.2, 'MeanThroughput': 0.17476583333333334}}",Madrid
Norway,0575,"{('LTE', '52295689', '280'): {'MeanLatency': 52.38181818181818, 'MeanThroughput': 20.872645283018876}}",kommune
España,28029,"{('LTE', '73704964', '300'): {'MeanLatency': 68.0090909090909, 'MeanThroughput': 54.46448543689323}}",Madrid
España,28023,"{('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': 0.7149079545454545}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 0.7490232142857142}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72630019', '158'): {'MeanLatency': 100.68, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Norway,0571,"{('5G', '51662598', '88'): {'MeanLatency': 45.53636363636363, 'MeanThroughput': 41.28773839285717}, ('LTE', '51662598', '88'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
Norway,0572,"{('5G', '51662597', '87'): {'MeanLatency': 45.9909090909091, 'MeanThroughput': 82.63521284403672}, ('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
Norway,"Forskningsparken,","{('5G', '52826626', '42'): {'MeanLatency': 39.41818181818182, 'MeanThroughput': 145.2760233009709}, ('LTE', '52826626', '42'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Oslo
Canada,V6R,"{('LTE', '9223372036854775807', '297'): {'MeanLatency': nan, 'MeanThroughput': 3.3994117241379302}, ('5G', '9223372036854775807', '297'): {'MeanLatency': 71.075, 'MeanThroughput': 2.6215}}",Vancouver
Canada,V5G,"{('5G', '53839481', '272'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53839481', '272'): {'MeanLatency': nan, 'MeanThroughput': 12.932373333333334}, ('LTE', '9223372036854775807', '272'): {'MeanLatency': nan, 'MeanThroughput': 10.1229875}, ('LTE', '9223372036854775807', '300'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53839401', '17'): {'MeanLatency': nan, 'MeanThroughput': 20.975350000000002}, ('5G', '53839401', '17'): {'MeanLatency': nan, 'MeanThroughput': 18.355783333333335}, ('5G', '9223372036854775807', '272'): {'MeanLatency': 33.225, 'MeanThroughput': 9.173075}}",Burnaby
United States,IN,"{('LTE', '58890262', '340'): {'MeanLatency': 47.07272727272728, 'MeanThroughput': 26.66380761904762}}",Lafayette
España,28034,"{('LTE', '73704966', '302'): {'MeanLatency': 62.24545454545455, 'MeanThroughput': 31.11131132075472}}",Madrid
España,"Alarcón,","{('LTE', '72376583', '105'): {'MeanLatency': nan, 'MeanThroughput': 4.301779487179486}, ('LTE', '74011395', '494'): {'MeanLatency': nan, 'MeanThroughput': 15.89791935483871}, ('LTE', '73603843', '188'): {'MeanLatency': 57.45454545454545, 'MeanThroughput': 22.824291176470584}}",Alarcón
España,28029,"{('LTE', '73704963', '302'): {'MeanLatency': 67.11818181818181, 'MeanThroughput': 18.826470909090908}}",Madrid
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 47.50909090909091, 'MeanThroughput': 34.51910884955754}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
Norway,0579,"{('LTE', '52295686', '281'): {'MeanLatency': 44.845454545454544, 'MeanThroughput': 52.73768627450982}}",kommune
Norway,0855,"{('5G', '53468930', '473'): {'MeanLatency': 67.83636363636363, 'MeanThroughput': 130.10747378640784}, ('LTE', '53468930', '473'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
Canada,V6R,"{('5G', '9223372036854775807', '102'): {'MeanLatency': 38.42727272727273, 'MeanThroughput': 78.64844519230772}, ('LTE', '9223372036854775807', '102'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Vancouver
Germany,13353,"{('LTE', '26910977', '168'): {'MeanLatency': 30.427272727272726, 'MeanThroughput': 75.47730495049507}}",Berlin
Denmark,1879,"{('LTE', '43642991', '243'): {'MeanLatency': 44.99090909090909, 'MeanThroughput': 42.85430384615384}}",København
Canada,V5B,"{('LTE', '53820202', '288'): {'MeanLatency': nan, 'MeanThroughput': 3.8701690476190476}, ('LTE', '9223372036854775807', '322'): {'MeanLatency': nan, 'MeanThroughput': 7.864400000000001}, ('LTE', '53889065', '274'): {'MeanLatency': 155.43333333333334, 'MeanThroughput': 1.1308313725490196}, ('LTE', '9223372036854775807', '296'): {'MeanLatency': 52.4625, 'MeanThroughput': 3.2184612903225807}}",Burnaby
Norway,0565,"{('5G', '51662598', '88'): {'MeanLatency': 55.1090909090909, 'MeanThroughput': 139.6430115384615}, ('LTE', '51662598', '88'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
España,28023,"{('5G', '72374803', '303'): {'MeanLatency': 79.74545454545456, 'MeanThroughput': 2.073770149253731}, ('LTE', '72374803', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28023,"{('5G', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72630025', '158'): {'MeanLatency': 53.35, 'MeanThroughput': 0.5869704000000001}, ('LTE', '72275207', '159'): {'MeanLatency': 88.41428571428573, 'MeanThroughput': nan}}",Madrid
España,28035,"{('LTE', '72275207', '159'): {'MeanLatency': 51.32727272727273, 'MeanThroughput': 16.899814563106805}}",Madrid
Germany,10178,"{('LTE', '47259906', '440'): {'MeanLatency': 40.06363636363636, 'MeanThroughput': 6.191530476190477}}",Berlin
Canada,V6K,"{('LTE', '53909034', '289'): {'MeanLatency': 130.4, 'MeanThroughput': 1.3529693548387096}, ('5G', '53909034', '289'): {'MeanLatency': nan, 'MeanThroughput': 4.014059375}, ('5G', '0', '289'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53909114', '289'): {'MeanLatency': 96.78999999999999, 'MeanThroughput': nan}}",Vancouver
United States,MA,"{('LTE', '10458114', '156'): {'MeanLatency': nan, 'MeanThroughput': 18.26193146067416}, ('LTE', '32207105', '299'): {'MeanLatency': 57.71818181818182, 'MeanThroughput': 45.1701}}",Brockton
Germany,10437,"{('5G', '26932736', '194'): {'MeanLatency': nan, 'MeanThroughput': 72.6138}, ('LTE', '26932736', '194'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '26932736', '447'): {'MeanLatency': 63.0, 'MeanThroughput': 52.210667708333325}, ('LTE', '26932736', '447'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Berlin
Canada,BC,"{('LTE', '28295936', '150'): {'MeanLatency': 28.927272727272726, 'MeanThroughput': 31.032772972972978}}",Coquitlam
España,28029,"{('5G', '74114561', '363'): {'MeanLatency': 49.190909090909095, 'MeanThroughput': 35.96535327102804}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('5G', '72040963', '440'): {'MeanLatency': 51.63636363636363, 'MeanThroughput': 22.52658050847458}, ('LTE', '72040963', '440'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28044,"{('LTE', '73985539', '427'): {'MeanLatency': nan, 'MeanThroughput': 10.485493939393937}, ('LTE', '73985537', '428'): {'MeanLatency': 67.57000000000001, 'MeanThroughput': 11.023538461538461}}",Madrid
,,"{('5G', '72756737', '432'): {'MeanLatency': 53.68181818181818, 'MeanThroughput': 13.996044915254238}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
,,"{('5G', '73781763', '130'): {'MeanLatency': 51.4, 'MeanThroughput': 67.05946285714285}, ('LTE', '73781763', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
España,28034,"{('LTE', '73704963', '302'): {'MeanLatency': 62.34545454545455, 'MeanThroughput': 34.67239528301887}}",Madrid
Norway,0569,"{('LTE', '52111873', '239'): {'MeanLatency': 43.99090909090909, 'MeanThroughput': 25.415660952380946}}",kommune
España,28029,"{('5G', '72040969', '440'): {'MeanLatency': nan, 'MeanThroughput': 7.404110687022902}, ('LTE', '72040969', '440'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '2147483647', '187'): {'MeanLatency': nan, 'MeanThroughput': 0.0}, ('LTE', '2147483647', '187'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72092163', '188'): {'MeanLatency': 170.3625, 'MeanThroughput': nan}, ('LTE', '72092163', '188'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 63.100000000000016, 'MeanThroughput': 26.517166346153843}}",Leganés
Canada,V3S,"{('5G', '0', '69'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '54081066', '120'): {'MeanLatency': 41.900000000000006, 'MeanThroughput': 20.351647368421055}, ('LTE', '54081066', '120'): {'MeanLatency': nan, 'MeanThroughput': 9.903344444444445}, ('LTE', '0', '69'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53928489', '199'): {'MeanLatency': nan, 'MeanThroughput': 6.475705882352942}, ('5G', '53928489', '199'): {'MeanLatency': 106.26666666666667, 'MeanThroughput': 5.243063636363636}}",Surrey
España,28023,"{('LTE', '72961801', '44'): {'MeanLatency': 51.027272727272724, 'MeanThroughput': 5.825471296296296}}",Madrid
Canada,V7B,"{('5G', '0', '92'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '28236074', '438'): {'MeanLatency': 29.854545454545452, 'MeanThroughput': 24.85349230769231}, ('LTE', '28236074', '438'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Richmond
,,"{('5G', '72092161', '187'): {'MeanLatency': 44.963636363636354, 'MeanThroughput': 28.956000000000003}, ('LTE', '72092161', '187'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
España,28023,"{('LTE', '73985539', '427'): {'MeanLatency': 61.5, 'MeanThroughput': 16.83498348623854}}",Madrid
España,28029,"{('5G', '72629761', '145'): {'MeanLatency': 54.354545454545466, 'MeanThroughput': 19.096050406504062}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Norway,"Forskningsparken,","{('LTE', '94887721', '99'): {'MeanLatency': nan, 'MeanThroughput': 1.3798157894736844}, ('5G', '94887721', '99'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '32050719', '439'): {'MeanLatency': 53.74545454545454, 'MeanThroughput': 5.123852272727272}}",Oslo
España,"Alarcón,","{('LTE', '73603841', '186'): {'MeanLatency': nan, 'MeanThroughput': 16.083245945945944}, ('5G', '73603841', '186'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': 130.58181818181816, 'MeanThroughput': 7.6106741935483875}, ('LTE', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Alarcón
Portugal,4200-465,"{('5G', '494890', '229'): {'MeanLatency': 70.5909090909091, 'MeanThroughput': 8.52498455284553}, ('LTE', '494890', '229'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Porto
España,28029,"{('LTE', '72578819', '488'): {'MeanLatency': 61.78181818181818, 'MeanThroughput': 14.330469523809528}}",Madrid
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 57.61818181818182, 'MeanThroughput': 36.32266576576577}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
España,28034,"{('LTE', '73704964', '300'): {'MeanLatency': 58.51818181818182, 'MeanThroughput': 4.596470547945205}}",Madrid
,,"{('LTE', '72092161', '187'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72092161', '187'): {'MeanLatency': 393.34545454545446, 'MeanThroughput': 0.9038724137931032}}",
España,"Fuenlabrada,","{('5G', '72790275', '380'): {'MeanLatency': 42.70909090909091, 'MeanThroughput': 101.47690934579441}, ('LTE', '72790275', '380'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Fuenlabrada
Canada,V3B,"{('LTE', '103748629', '311'): {'MeanLatency': nan, 'MeanThroughput': 7.491042857142857}, ('LTE', '103748619', '310'): {'MeanLatency': 60.62727272727273, 'MeanThroughput': 47.285988571428575}}",Coquitlam
España,28023,"{('LTE', '72374791', '303'): {'MeanLatency': nan, 'MeanThroughput': 17.4765}, ('5G', '72374791', '303'): {'MeanLatency': nan, 'MeanThroughput': 1.8477967213114757}, ('LTE', '72961801', '44'): {'MeanLatency': 58.48181818181818, 'MeanThroughput': nan}}",Madrid
