Country,StateUSA,Info,City
United States,IN,"{('LTE', '6652675', '350'): {'MeanLatency': 75.08181818181818, 'MeanThroughput': 11.326725471698113}}",Lafayette
España,"Alarcón,","{('LTE', '74065153', '378'): {'MeanLatency': 109.56363636363636, 'MeanThroughput': 6.432644680851064}}",Alarcón
,,{},
,,"{('LTE', '43790713', '250'): {'MeanLatency': 38.86363636363636, 'MeanThroughput': 8.051510714285714}}",
España,28023,"{('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 6.553925}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 16.50745810810811}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166595', '302'): {'MeanLatency': 56.16363636363637, 'MeanThroughput': 5.474467647058824}}",Madrid
,IL,"{('LTE', '54749837', '397'): {'MeanLatency': 315.54545454545456, 'MeanThroughput': 4.290706363636365}}",
España,"Alarcón,","{('LTE', '74011395', '494'): {'MeanLatency': 53.67272727272728, 'MeanThroughput': 20.06415865384615}}",Alarcón
España,"Alarcón,","{('LTE', '73118979', '146'): {'MeanLatency': nan, 'MeanThroughput': 5.730976744186045}, ('LTE', '72657411', '314'): {'MeanLatency': 57.063636363636355, 'MeanThroughput': 6.220269491525425}, ('LTE', '72657410', '312'): {'MeanLatency': nan, 'MeanThroughput': 15.7284}}",Alarcón
España,28020,"{('5G', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': 0.9696335616438357}, ('LTE', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72193281', '249'): {'MeanLatency': 600.6818181818181, 'MeanThroughput': nan}, ('LTE', '72193281', '249'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28034,"{('LTE', '72040966', '440'): {'MeanLatency': nan, 'MeanThroughput': 10.485934375000001}, ('5G', '72040966', '440'): {'MeanLatency': nan, 'MeanThroughput': 28.83607413793104}, ('LTE', '73704964', '300'): {'MeanLatency': 67.4090909090909, 'MeanThroughput': 10.381086000000003}}",Madrid
España,28029,"{('LTE', '73704966', '302'): {'MeanLatency': 67.1, 'MeanThroughput': 36.101238461538465}}",Madrid
España,28035,"{('5G', '73781763', '130'): {'MeanLatency': 57.44545454545455, 'MeanThroughput': 71.4227188679245}, ('LTE', '73781763', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Germany,12099,"{('LTE', '26979329', '92'): {'MeanLatency': nan, 'MeanThroughput': 35.389975}, ('LTE', '26979328', '90'): {'MeanLatency': 30.3, 'MeanThroughput': 53.16971818181817}}",Berlin
Denmark,2450,"{('LTE', '44136980', '283'): {'MeanLatency': 42.42727272727273, 'MeanThroughput': 26.573981372549028}}",København
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 55.554545454545455, 'MeanThroughput': 8.194020740740738}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
Norway,0572,"{('LTE', '51662597', '87'): {'MeanLatency': 43.2, 'MeanThroughput': 57.05691666666668}}",kommune
España,"Alarcón,","{('LTE', '72146177', '237'): {'MeanLatency': nan, 'MeanThroughput': 0.9251470588235293}, ('LTE', '72657410', '312'): {'MeanLatency': nan, 'MeanThroughput': 0.685467857142857}, ('LTE', '74065153', '378'): {'MeanLatency': 85.72857142857143, 'MeanThroughput': 3.145740000000001}, ('LTE', '73118979', '146'): {'MeanLatency': 155.23333333333332, 'MeanThroughput': nan}}",Alarcón
España,"Alarcón,","{('5G', '73144322', '31'): {'MeanLatency': 767.6111111111111, 'MeanThroughput': 2.584035915492958}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72630019', '158'): {'MeanLatency': 45.7, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Alarcón
Portugal,4050-459,"{('5G', '262698', '397'): {'MeanLatency': 71.44545454545454, 'MeanThroughput': 12.972849152542375}, ('LTE', '262698', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Porto
Canada,V3B,"{('LTE', '25676153', '103'): {'MeanLatency': 31.699999999999992, 'MeanThroughput': 2.9900445312500006}}",Coquitlam
España,28054,"{('LTE', '73985555', '428'): {'MeanLatency': 51.872727272727275, 'MeanThroughput': 15.44014587155964}}",Madrid
Norway,0851,"{('5G', '53468932', '326'): {'MeanLatency': nan, 'MeanThroughput': 66.70957238095238}, ('LTE', '53468932', '326'): {'MeanLatency': 36.9, 'MeanThroughput': 61.6113}, ('5G', '52826627', '48'): {'MeanLatency': 43.03000000000001, 'MeanThroughput': nan}}",kommune
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 61.38181818181818, 'MeanThroughput': 27.12834678899082}}",Leganés
España,"Fortuna,","{('LTE', '73985555', '428'): {'MeanLatency': 51.07272727272728, 'MeanThroughput': 11.902718018018017}}",Fortuna
Canada,V6R,"{('5G', '9223372036854775807', '294'): {'MeanLatency': 31.53636363636364, 'MeanThroughput': 53.76433545454546}}",Vancouver
España,28044,"{('LTE', '73985539', '427'): {'MeanLatency': 73.94285714285715, 'MeanThroughput': 43.69095238095238}, ('LTE', '73985537', '428'): {'MeanLatency': 72.5, 'MeanThroughput': nan}}",Madrid
Denmark,2300,"{('LTE', '44081183', '284'): {'MeanLatency': 48.33636363636364, 'MeanThroughput': 94.95187549019613}}",København
España,"Fuenlabrada,","{('5G', '71689731', '104'): {'MeanLatency': nan, 'MeanThroughput': 10.757544827586209}, ('LTE', '71689731', '104'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71689736', '103'): {'MeanLatency': 42.909090909090914, 'MeanThroughput': nan}, ('LTE', '71689736', '103'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Fuenlabrada
Norway,"Nydalen,","{('LTE', '18192899', '22'): {'MeanLatency': 60.73636363636364, 'MeanThroughput': 56.687224752475224}}",Oslo
España,28044,"{('LTE', '73985545', '427'): {'MeanLatency': nan, 'MeanThroughput': 5.028979591836734}, ('LTE', '73985555', '428'): {'MeanLatency': 51.636363636363626, 'MeanThroughput': 22.68745818181818}}",Madrid
España,"Fuenlabrada,","{('5G', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': 53.381787012987026}, ('LTE', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72790280', '379'): {'MeanLatency': nan, 'MeanThroughput': 55.822094117647055}, ('LTE', '72790280', '379'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72790275', '380'): {'MeanLatency': 45.836363636363636, 'MeanThroughput': 109.58029000000002}, ('LTE', '72790275', '380'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Fuenlabrada
Germany,13353,"{('LTE', '26816512', '231'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '26816512', '231'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '26352130', '231'): {'MeanLatency': nan, 'MeanThroughput': 22.31580256410256}, ('5G', '26352130', '257'): {'MeanLatency': 54.25454545454545, 'MeanThroughput': 29.306439743589753}, ('LTE', '26352130', '257'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Berlin
,,"{('5G', '73781763', '130'): {'MeanLatency': 46.2, 'MeanThroughput': 18.37273418803419}, ('LTE', '73781763', '130'): {'MeanLatency': 56.75, 'MeanThroughput': nan}}",
España,28035,"{('LTE', '72630017', '156'): {'MeanLatency': 56.48181818181819, 'MeanThroughput': 3.0952374999999996}}",Madrid
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 72.3, 'MeanThroughput': 25.363963063063068}}",Leganés
España,28023,"{('LTE', '72630017', '156'): {'MeanLatency': nan, 'MeanThroughput': 4.915243749999999}, ('LTE', '72091143', '219'): {'MeanLatency': 60.08181818181818, 'MeanThroughput': 9.68475555555555}}",Madrid
España,28029,"{('5G', '72629761', '145'): {'MeanLatency': 52.16363636363636, 'MeanThroughput': 43.32462456140351}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Norway,5015,"{('5G', '31795487', '160'): {'MeanLatency': 51.00909090909091, 'MeanThroughput': 133.66987087378638}, ('LTE', '31795487', '160'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Bergen
