Date,Type,Info,cell_info_data
1670611066.0,Driving,"{('5G', '9223372036854775807', '275'): {'MeanLatency': 31.400000000000002, 'MeanThroughput': 12.815777777777779}, ('LTE', '9223372036854775807', '275'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53889065', '274'): {'MeanLatency': nan, 'MeanThroughput': 4.234876923076923}, ('5G', '53889065', '274'): {'MeanLatency': nan, 'MeanThroughput': 6.784870588235294}, ('5G', '53889064', '274'): {'MeanLatency': 30.2, 'MeanThroughput': 2.466991176470589}}","{'ARFCN': '635000', 'EARFCN': '850'}"
1690822586.0,Driving,"{('5G', '0', '340'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '53951018', '489'): {'MeanLatency': 33.26363636363636, 'MeanThroughput': 3.069012195121952}, ('LTE', '53951018', '489'): {'MeanLatency': nan, 'MeanThroughput': 3.5122097087378648}, ('LTE', '0', '340'): {'MeanLatency': nan, 'MeanThroughput': nan}}","{'ARFCN': '434910', 'EARFCN': '850'}"
1673732831.0,Driving,"{('LTE', '9223372036854775807', '132'): {'MeanLatency': nan, 'MeanThroughput': 25.99700416666667}, ('5G', '9223372036854775807', '132'): {'MeanLatency': 32.5, 'MeanThroughput': 41.48496124999999}}",{'ARFCN': '436000'}
1671739094.0,Static,"{('LTE', '9223372036854775807', '156'): {'MeanLatency': nan, 'MeanThroughput': 30.350195774647897}, ('5G', '9223372036854775807', '156'): {'MeanLatency': nan, 'MeanThroughput': 26.213589999999993}, ('5G', '53851690', '156'): {'MeanLatency': 28.563636363636363, 'MeanThroughput': 18.352075}}","{'ARFCN': '635000', 'EARFCN': '850'}"
1673733826.0,Driving,"{('LTE', '25676153', '103'): {'MeanLatency': 31.699999999999992, 'MeanThroughput': 2.9900445312500006}}",{'EARFCN': '2850'}
1670097131.0,Static,"{('5G', '9223372036854775807', '294'): {'MeanLatency': 31.53636363636364, 'MeanThroughput': 53.76433545454546}}",{'ARFCN': '635000'}
1668553069.0,Driving,"{('LTE', '28328232', '15'): {'MeanLatency': nan, 'MeanThroughput': 12.815999999999999}, ('LTE', '53823019', '84'): {'MeanLatency': 62.33636363636365, 'MeanThroughput': 32.388065624999996}}",{'EARFCN': '850'}
1674925915.0,Walking,"{('LTE', '32380712', '242'): {'MeanLatency': 37.28181818181818, 'MeanThroughput': 7.705474242424241}}",{'EARFCN': '850'}
1673733545.0,Driving,"{('5G', '9223372036854775807', '176'): {'MeanLatency': nan, 'MeanThroughput': 6.649617073170732}, ('LTE', '9223372036854775807', '176'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '9223372036854775807', '175'): {'MeanLatency': 48.209090909090904, 'MeanThroughput': 9.38167631578947}}",{'ARFCN': '436000'}
1694975811.0,Static,"{('5G', '0', '938'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '53967216', '179'): {'MeanLatency': 32.52727272727273, 'MeanThroughput': 19.299300862068968}, ('LTE', '53967216', '179'): {'MeanLatency': nan, 'MeanThroughput': nan}}","{'ARFCN': '633984', 'EARFCN': '3350'}"
1670611651.0,Static,"{('5G', '9223372036854775807', '145'): {'MeanLatency': 31.427272727272726, 'MeanThroughput': 7.3136193798449645}}",{'ARFCN': '435000'}
1670099758.0,Static,"{('5G', '9223372036854775807', '289'): {'MeanLatency': 39.95454545454545, 'MeanThroughput': 11.324769599999998}}",{'ARFCN': '436020'}
