Date,Type,Info,cell_info_data
1670611066.0,Driving,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 4.234876923076923, 'MeanRsrp': [-102.0, -96.0, -99.0], 'MeanSsrsrp': [], 'Counter_tput': 26, 'Counter_latency': 0}, '5G': {'MeanLatency': 31.181818181818187, 'MeanThroughput': 4.238725531914894, 'MeanRsrp': [], 'MeanSsrsrp': [-108.0, -108.0], 'Counter_tput': 94, 'Counter_latency': 11}}","{'ARFCN': '635000', 'EARFCN': '850'}"
1690822586.0,Driving,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 3.5122097087378648, 'MeanRsrp': [-111.0, -108.0, -111.0], 'MeanSsrsrp': [], 'Counter_tput': 103, 'Counter_latency': 0}, '5G': {'MeanLatency': 33.26363636363636, 'MeanThroughput': 3.069012195121952, 'MeanRsrp': [], 'MeanSsrsrp': [-108.0, -113.0], 'Counter_tput': 41, 'Counter_latency': 11}}","{'ARFCN': '434910', 'EARFCN': '850'}"
1673732831.0,Driving,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 25.99700416666667, 'MeanRsrp': [-100.0, -92.0, -99.0], 'MeanSsrsrp': [], 'Counter_tput': 24, 'Counter_latency': 0}, '5G': {'MeanLatency': 32.5, 'MeanThroughput': 41.48496124999999, 'MeanRsrp': [], 'MeanSsrsrp': [-91.0, -92.0], 'Counter_tput': 80, 'Counter_latency': 11}}",{'ARFCN': '436000'}
1671739094.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 30.350195774647897, 'MeanRsrp': [-92.0, -86.0, -85.0], 'MeanSsrsrp': [], 'Counter_tput': 71, 'Counter_latency': 0}, '5G': {'MeanLatency': 28.563636363636363, 'MeanThroughput': 25.288705882352936, 'MeanRsrp': [], 'MeanSsrsrp': [-78.0, -79.0], 'Counter_tput': 34, 'Counter_latency': 11}}","{'ARFCN': '635000', 'EARFCN': '850'}"
1673733826.0,Driving,"{'LTE': {'MeanLatency': 31.699999999999992, 'MeanThroughput': 2.9900445312500006, 'MeanRsrp': [-112.0, -122.0, -114.0], 'MeanSsrsrp': [], 'Counter_tput': 128, 'Counter_latency': 11}}",{'EARFCN': '2850'}
1670097131.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-80.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 31.53636363636364, 'MeanThroughput': 53.76433545454546, 'MeanRsrp': [], 'MeanSsrsrp': [-83.0], 'Counter_tput': 110, 'Counter_latency': 11}}",{'ARFCN': '635000'}
1668553069.0,Driving,"{'LTE': {'MeanLatency': 62.33636363636365, 'MeanThroughput': 30.710459999999998, 'MeanRsrp': [-108.0, -92.0], 'MeanSsrsrp': [], 'Counter_tput': 105, 'Counter_latency': 11}}",{'EARFCN': '850'}
1674925915.0,Walking,"{'LTE': {'MeanLatency': 37.28181818181818, 'MeanThroughput': 7.705474242424241, 'MeanRsrp': [-110.0], 'MeanSsrsrp': [], 'Counter_tput': 132, 'Counter_latency': 11}}",{'EARFCN': '850'}
1673733545.0,Driving,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-103.0, -96.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 48.209090909090904, 'MeanThroughput': 8.424288034188034, 'MeanRsrp': [], 'MeanSsrsrp': [-76.0, -87.0], 'Counter_tput': 117, 'Counter_latency': 11}}",{'ARFCN': '436000'}
1694975811.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-100.0, -97.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 32.52727272727273, 'MeanThroughput': 19.299300862068968, 'MeanRsrp': [], 'MeanSsrsrp': [-100.0, -94.0], 'Counter_tput': 116, 'Counter_latency': 11}}","{'ARFCN': '633984', 'EARFCN': '3350'}"
1670611651.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-89.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 31.427272727272726, 'MeanThroughput': 7.3136193798449645, 'MeanRsrp': [], 'MeanSsrsrp': [-101.0], 'Counter_tput': 129, 'Counter_latency': 11}}",{'ARFCN': '435000'}
1670099758.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-98.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 39.95454545454545, 'MeanThroughput': 11.324769599999998, 'MeanRsrp': [], 'MeanSsrsrp': [-111.0], 'Counter_tput': 125, 'Counter_latency': 11}}",{'ARFCN': '436020'}
1669496744.0,Driving,"{'LTE': {'MeanLatency': 39.81818181818182, 'MeanThroughput': 10.486214285714285, 'MeanRsrp': [-110.0, -119.0, -110.0, -106.0, -110.0], 'MeanSsrsrp': [], 'Counter_tput': 7, 'Counter_latency': 11}, '5G': {'MeanLatency': nan, 'MeanThroughput': 4.185094736842106, 'MeanRsrp': [], 'MeanSsrsrp': [-96.0, -113.0, -104.0, -99.0], 'Counter_tput': 114, 'Counter_latency': 0}}",{'ARFCN': '126400'}
1674018473.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-91.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 72.29090909090908, 'MeanThroughput': 23.464100729927004, 'MeanRsrp': [], 'MeanSsrsrp': [-96.0], 'Counter_tput': 137, 'Counter_latency': 11}}",{'ARFCN': '436020'}
