Date,Type,Info
1668679735.0,Walking,"{('LTE', '31335179', '51'): {'MeanLatency': nan, 'MeanThroughput': 54.72076019417476}, ('5G', '31335179', '51'): {'MeanLatency': 41.654545454545456, 'MeanThroughput': nan}}"
1675621308.0,Static,"{('LTE', '51689217', '168'): {'MeanLatency': 160.54545454545456, 'MeanThroughput': 2.928735862068964}}"
1663916893.0,Walking,"{('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': 2.62145}, ('5G', '51662597', '87'): {'MeanLatency': 59.71818181818182, 'MeanThroughput': 143.7906524752475}}"
1670584876.0,Walking,"{('5G', '51662597', '87'): {'MeanLatency': 42.25454545454546, 'MeanThroughput': 16.568063199999997}, ('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': 12.236066666666666}}"
1693810989.0,Walking,"{('LTE', '51662597', '87'): {'MeanLatency': 43.2, 'MeanThroughput': 57.05691666666668}}"
1686855763.0,Walking,"{('5G', '53468932', '326'): {'MeanLatency': nan, 'MeanThroughput': 66.70957238095238}, ('LTE', '53468932', '326'): {'MeanLatency': 36.9, 'MeanThroughput': 61.6113}, ('5G', '52826627', '48'): {'MeanLatency': 43.03000000000001, 'MeanThroughput': nan}}"
1665682816.0,Walking,"{('LTE', '18192899', '22'): {'MeanLatency': 60.73636363636364, 'MeanThroughput': 56.687224752475224}}"
1663388610.0,Walking,"{('5G', '31795487', '160'): {'MeanLatency': 51.00909090909091, 'MeanThroughput': 133.66987087378638}, ('LTE', '31795487', '160'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1686389918.0,Walking,"{('5G', '51662597', '87'): {'MeanLatency': 47.42727272727273, 'MeanThroughput': 126.63627692307689}, ('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1665076190.0,Walking,"{('LTE', '17015041', '303'): {'MeanLatency': 60.181818181818194, 'MeanThroughput': 43.53645196078433}}"
1682238184.0,Static,"{('LTE', '17015041', '303'): {'MeanLatency': 58.39090909090908, 'MeanThroughput': 105.99932475247529}}"
1663086853.0,Walking,"{('5G', '31340301', '264'): {'MeanLatency': 36.7, 'MeanThroughput': 100.37670729166666}, ('LTE', '31340301', '264'): {'MeanLatency': nan, 'MeanThroughput': 59.58072727272727}}"
1685734993.0,Walking,"{('LTE', '52404493', '407'): {'MeanLatency': 45.481818181818184, 'MeanThroughput': 59.64447128712873}}"
1663090148.0,Static,"{('5G', '32028951', '86'): {'MeanLatency': 50.91000000000001, 'MeanThroughput': 137.57583076923078}, ('LTE', '32028951', '86'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1663087494.0,Walking,"{('5G', '32444191', '470'): {'MeanLatency': 39.89090909090909, 'MeanThroughput': 94.98313711340208}, ('LTE', '32444191', '470'): {'MeanLatency': nan, 'MeanThroughput': 25.62421111111111}}"
1667684896.0,Walking,"{('5G', '31893781', '188'): {'MeanLatency': 37.581818181818186, 'MeanThroughput': 3.4031675438596496}, ('LTE', '31893781', '188'): {'MeanLatency': nan, 'MeanThroughput': nan}}"
1669633763.0,Walking,"{('LTE', '52826632', '49'): {'MeanLatency': nan, 'MeanThroughput': 55.57679}, ('5G', '52826632', '49'): {'MeanLatency': 54.436363636363645, 'MeanThroughput': 81.94074020618555}}"
